market_hash_name,currency,current_min_price,suggested_price,min_24h,max_24h,avg_24h,median_24h,volume_24h,min_7d,max_7d,avg_7d,median_7d,volume_7d,min_30d,max_30d,avg_30d,median_30d,volume_30d,min_90d,max_90d,avg_90d,median_90d,volume_90d
Souvenir MP5-SD | Oxide Oasis (Factory New),EUR,20.41,25.83,,,,,0,,,,,0,19.2,30.99,23.71,22.42,8,14.78,30.99,22.56,22.86,29
Sticker | Heavygod (Glitter) | Shanghai 2024,EUR,0.18,0.05,,,,,0,0.03,0.03,0.03,0.03,2,0.03,0.11,0.06,0.05,10,0.02,0.11,0.03,0.02,58
MP7 | Vault Heist (Factory New),EUR,3.2,3.44,,,,,0,2.5,2.98,2.74,2.74,2,2.5,3.55,3.06,3.01,8,2.26,3.55,2.95,3.01,24
P90 | Attack Vector (Battle-Scarred),EUR,5,3.42,,,,,0,,,,,0,2.44,2.44,2.44,2.44,1,2.44,5.8,4.22,4.32,4
StatTrak™ P90 | Blind Spot (Field-Tested),EUR,13.24,14.45,,,,,0,,,,,0,,,,,0,9.44,13.37,11.81,12.46,5
Sealed Graffiti | Hop (Monarch Blue),EUR,3.59,0.35,,,,,0,,,,,0,,,,,0,0.31,0.44,0.38,0.38,2
★ StatTrak™ Survival Knife | Crimson Web (Field-Tested),EUR,265.63,228.46,,,,,0,,,,,0,144.44,187.86,165.5,164.84,4,144.44,234.56,190.69,187.86,11
Sticker | shox (Glitter) | Antwerp 2022,EUR,0.17,0.05,,,,,0,,,,,0,0.04,0.04,0.04,0.04,1,0.03,0.05,0.04,0.04,8
Sticker | acoR (Glitter) | Rio 2022,EUR,0.2,0.06,,,,,0,,,,,0,,,,,0,0.04,0.05,0.05,0.04,2
Sticker | KRIMZ | Atlanta 2017,EUR,4.27,3.08,,,,,0,,,,,0,,,,,0,2.65,2.65,2.65,2.65,1
Sticker | CacaNito (Gold) | Copenhagen 2024,EUR,3,2.06,,,,,0,,,,,0,,,,,0,,,,,0
AK-47 | Safari Mesh (Minimal Wear),EUR,0.14,0.19,0.14,0.14,0.14,0.14,2,0.12,1.9,0.47,0.15,22,0.1,44.6,0.87,0.14,127,0.1,44.6,0.56,0.15,371
★ StatTrak™ Stiletto Knife | Night Stripe (Factory New),EUR,,1051.19,,,,,0,,,,,0,,,,,0,,,,,0
AWP | Pink DDPAT (Battle-Scarred),EUR,54.9,35.72,,,,,0,,,,,0,107.9,107.9,107.9,107.9,1,30,107.9,56.7,32.21,3
MP9 | Cobalt Paisley (Field-Tested),EUR,3.5,2.26,1.94,2.07,2.01,2,2,1.92,3.23,2.51,2.5,33,1.3,6.5,2.67,2.54,79,1.3,6.5,2.8,2.54,91
Sticker | Cloud9 (Gold) | Antwerp 2022,EUR,5.41,5.25,,,,,0,,,,,0,2.78,6.22,4.06,3.95,13,2.78,6.23,4.11,3.99,25
Glock-18 | Ramese's Reach (Minimal Wear),EUR,8.5,9.44,6.9,9.01,8.33,8.7,4,6.89,11.58,8.83,9.01,27,6.89,11.58,9.05,9.17,120,6.89,17.49,9.98,9.78,412
★ Sport Gloves | Scarlet Shamagh (Well-Worn),EUR,315,337.43,309.71,309.71,309.71,309.71,1,266.91,347.28,304.01,300.92,4,261.8,360.06,318.35,311.42,26,221.36,360.06,297.48,300,85
Souvenir R8 Revolver | Night (Battle-Scarred),EUR,0.02,0.03,,,,,0,0.02,0.02,0.02,0.02,3,0.02,0.02,0.02,0.02,3,0.02,0.03,0.02,0.02,50
Sticker | HellRaisers | London 2018,EUR,2.75,2.57,,,,,0,2.72,3.79,3.2,3.14,4,2.15,3.79,2.87,2.99,7,1.51,3.79,2.54,2.49,29
USP-S | Cyrex (Factory New),EUR,3.02,3.32,3.2,3.22,3.21,3.2,5,2.44,59.9,4.73,3.2,53,2.39,59.9,3.74,3.3,230,2.25,86.41,4,3.36,776
Souvenir AK-47 | Safari Mesh (Well-Worn),EUR,22.93,12.24,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | arT (Gold) | Stockholm 2021,EUR,14.5,9.83,,,,,0,,,,,0,7,8.78,7.98,8.16,3,7,9,8.35,8.78,5
★ StatTrak™ Stiletto Knife | Night Stripe (Field-Tested),EUR,,267.09,,,,,0,,,,,0,248.14,248.14,248.14,248.14,1,213.84,270.24,241.31,248.14,5
G3SG1 | Murky (Field-Tested),EUR,0.4,0.54,,,,,0,0.43,0.43,0.43,0.43,1,0.36,0.49,0.44,0.43,5,0.32,0.51,0.45,0.46,19
Glock-18 | Fade (Factory New),EUR,1489.5,1773.71,1787.82,1787.82,1787.82,1787.82,1,1437,1787.82,1575.59,1501.94,3,1256.56,2175,1554.11,1500.42,19,1155.51,2175,1478.96,1437,61
★ StatTrak™ Nomad Knife | Forest DDPAT (Field-Tested),EUR,,174.9,,,,,0,,,,,0,,,,,0,128.23,169.34,148.79,148.78,2
Buckshot | NSWC SEAL,EUR,4.89,6.12,4.54,5.77,5.25,5.28,8,4,5.81,5.15,5.28,70,4,5.81,5.04,5.14,287,3.08,7.95,5.24,5.19,828
Sticker | dupreeh | Krakow 2017,EUR,2.59,2.44,,,,,0,1.73,1.73,1.73,1.73,1,1.61,2.29,1.88,1.73,3,1.37,2.29,1.78,1.61,7
★ Stiletto Knife | Ultraviolet (Factory New),EUR,,653.48,,,,,0,,,,,0,,,,,0,588.8,674.76,631.78,631.78,2
USP-S | The Traitor (Minimal Wear),EUR,18.2,23.29,16.83,27.57,19.58,19.95,17,12.87,27.57,19.22,18.95,86,10.29,29.2,19.02,19,352,10.29,35,19.86,19.85,990
Souvenir UMP-45 | Blaze (Minimal Wear),EUR,38.99,32.64,,,,,0,,,,,0,,,,,0,60.23,60.23,60.23,60.23,1
StatTrak™ MAC-10 | Stalker (Field-Tested),EUR,46,58.68,,,,,0,51.16,51.16,51.16,51.16,1,41.6,55.99,48.86,48.28,6,35.73,55.99,45.57,44.37,24
XM1014 | Grassland (Well-Worn),EUR,,3.09,,,,,0,,,,,0,,,,,0,,,,,0
★ StatTrak™ Butterfly Knife | Damascus Steel (Factory New),EUR,2312.51,1647.41,,,,,0,,,,,0,,,,,0,1447.21,1447.21,1447.21,1447.21,1
Sealed Graffiti | Recoil XM1014 (Blood Red),EUR,5,1.84,,,,,0,,,,,0,,,,,0,,,,,0
Autograph Capsule | Challengers (Foil) | Cluj-Napoca 2015,EUR,47.2,48.69,,,,,0,,,,,0,,,,,0,32.76,45.75,39.26,39.26,2
