market_hash_name,currency,current_min_price,min_24h,max_24h,avg_24h,median_24h,volume_24h,min_7d,max_7d,avg_7d,median_7d,volume_7d,min_30d,max_30d,avg_30d,median_30d,volume_30d,min_90d,max_90d,avg_90d,median_90d,volume_90d
Sticker | shox | Stockholm 2021,EUR,0.02,,,,,0,,,,,0,0.02,0.06,0.02,0.02,32,0.02,0.06,0.03,0.02,36
Sticker | Heroic (Glitter) | Copenhagen 2024,EUR,0.14,,,,,0,0.14,0.14,0.14,0.14,2,0.02,0.14,0.05,0.04,64,0.02,0.25,0.06,0.04,137
StatTrak™ Desert Eagle | Kumicho Dragon (Minimal Wear),EUR,45.74,46.83,46.83,46.83,46.83,1,45,50.57,48.7,49.92,6,45,68.29,50.81,49.95,33,40.05,68.29,51.51,50.56,129
Sticker | FlyQuest (Holo) | Austin 2025,EUR,20.45,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | Natus Vincere (Foil) | London 2018,EUR,19.95,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | GeT_RiGhT | Cluj-Napoca 2015,EUR,12.96,,,,,0,3.54,3.54,3.54,3.54,1,3.15,6.43,4.36,4.51,11,3.15,6.43,4.24,4.29,17
★ Falchion Knife | Black Laminate (Factory New),EUR,189.53,,,,,0,,,,,0,228,228,228,228,1,152.21,228,193.63,200,9
★ Bowie Knife | Case Hardened (Battle-Scarred),EUR,200,,,,,0,,,,,0,,,,,0,,,,,0
AUG | Amber Fade (Factory New),EUR,1.64,1.56,1.65,1.6,1.6,13,1.33,15,2.42,1.6,16,1.23,15,2.15,1.6,46,1.15,15,1.92,1.63,121
★ StatTrak™ Bowie Knife | Urban Masked (Well-Worn),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
StatTrak™ P2000 | Pulse (Battle-Scarred),EUR,1.96,,,,,0,,,,,0,1.74,1.74,1.74,1.74,1,1.58,1.74,1.66,1.66,2
Sticker | Apeks (Glitter) | Paris 2023,EUR,0.23,0.07,0.35,0.23,0.24,15,0.07,0.35,0.19,0.21,36,0.05,0.4,0.17,0.2,179,0.04,0.4,0.2,0.22,490
★ Karambit | Blue Steel (Minimal Wear),EUR,1400.43,,,,,0,,,,,0,1160.85,1300,1243.95,1251.52,7,1066.75,1300,1196.56,1200,23
StatTrak™ UMP-45 | Roadblock (Battle-Scarred),EUR,0.07,0.07,0.07,0.07,0.07,1,0.07,0.12,0.08,0.08,5,0.07,0.69,0.14,0.08,21,0.06,1.9,0.14,0.09,79
Dual Berettas | Oil Change (Battle-Scarred),EUR,3.01,,,,,0,,,,,0,,,,,0,0.91,3.26,2.09,2.08,2
Sticker | Skadoodle | Boston 2018,EUR,11.36,,,,,0,4.33,4.33,4.33,4.33,1,4.33,6.99,5.26,4.47,3,3.86,12.8,7.25,6.99,9
Sticker | torzsi | Copenhagen 2024,EUR,0.02,,,,,0,0.02,0.02,0.02,0.02,4,0.02,0.02,0.02,0.02,16,0.02,0.02,0.02,0.02,41
MP9 | Wild Lily (Factory New),EUR,3100,,,,,0,,,,,0,,,,,0,2403.24,3000,2701.62,2701.62,2
Souvenir Dual Berettas | Twin Turbo (Factory New),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
G3SG1 | Safari Mesh (Minimal Wear),EUR,3.54,,,,,0,,,,,0,2,3.33,2.67,2.66,2,2,3.33,2.58,2.5,4
Dual Berettas | Cartel (Field-Tested),EUR,0.5,,,,,0,,,,,0,0.31,0.6,0.51,0.52,22,0.31,0.83,0.55,0.54,75
Sticker | paiN Gaming (Holo) | Paris 2023,EUR,1.2,0.86,1.15,1.04,1.12,3,0.86,2.78,1.66,1.65,32,0.85,2.78,1.45,1.47,141,0.76,2.78,1.37,1.45,452
AWP | Asiimov (Field-Tested),EUR,125,113,148.1,130.87,131.02,10,108.88,230,133.9,129.99,59,100,644.95,132.33,125.99,240,100,644.95,137.24,130.68,792
"Music Kit | Freaky DNA, Vici",EUR,6.14,,,,,0,7.48,7.49,7.48,7.48,5,5.75,7.78,7.21,7.48,41,5.62,10.32,7.79,7.58,101
Sticker | F1KU (Gold) | Rio 2022,EUR,10.65,,,,,0,,,,,0,,,,,0,6.31,6.31,6.31,6.31,1
Five-SeveN | Scrawl (Factory New),EUR,0.26,0.25,0.25,0.25,0.25,2,0.25,0.34,0.29,0.26,14,0.23,0.8,0.36,0.34,69,0.2,25,0.57,0.38,274
★ StatTrak™ Bowie Knife | Blue Steel (Minimal Wear),EUR,,,,,,0,,,,,0,,,,,0,179.47,179.47,179.47,179.47,1
Sticker | Team EnVyUs | Boston 2018,EUR,4.22,,,,,0,,,,,0,3.79,4.35,4.11,4.2,7,2.83,4.35,3.68,3.72,24
AUG | Sand Storm (Minimal Wear),EUR,60.12,,,,,0,52.41,52.41,52.41,52.41,1,52.41,63.5,58.53,58.86,6,46.87,63.5,54.27,54.64,12
Sticker | Clown Wig,EUR,0.1,0.09,0.09,0.09,0.09,1,0.09,0.35,0.17,0.13,29,0.09,0.45,0.18,0.19,156,0.06,0.48,0.17,0.14,454
★ Nomad Knife | Tiger Tooth (Factory New),EUR,465,487,487,487,487,1,400.5,488.4,451.6,455,15,389.19,500,437.12,436.53,75,378.35,500,437.06,436.8,110
Sticker | pronax | Atlanta 2017,EUR,31.09,,,,,0,,,,,0,,,,,0,5,9.49,6.5,5,3
Sealed Graffiti | Jump Shot (Tracer Yellow),EUR,0.02,,,,,0,,,,,0,,,,,0,0.02,0.02,0.02,0.02,18
Operation Bravo Pass,EUR,240,,,,,0,,,,,0,,,,,0,208.15,208.15,208.15,208.15,1
PP-Bizon | Night Ops (Factory New),EUR,0.26,,,,,0,0.22,0.29,0.25,0.24,10,0.14,1.06,0.32,0.26,62,0.09,36.9,0.51,0.22,170
MAC-10 | Sienna Damask (Minimal Wear),EUR,0.47,0.37,0.37,0.37,0.37,2,0.36,0.55,0.44,0.42,8,0.34,0.55,0.43,0.44,26,0.34,0.56,0.45,0.46,66
Souvenir Five-SeveN | Hot Shot (Well-Worn),EUR,2.89,,,,,0,2.22,2.22,2.22,2.22,1,1.63,29.99,7.17,2.24,6,1.47,29.99,4.63,2.24,22
Sticker | tabseN | Krakow 2017,EUR,1.99,,,,,0,2.29,2.29,2.29,2.29,1,1.55,2.29,1.9,1.97,6,1.33,2.29,1.84,1.93,9
StatTrak™ P2000 | Wicked Sick (Well-Worn),EUR,2.3,2.07,2.07,2.07,2.07,1,1.88,2.34,2.05,2,4,1.8,2.75,2.21,2.21,12,1.45,2.9,2.18,2.2,34
FAMAS | Faulty Wiring (Minimal Wear),EUR,0.63,,,,,0,0.63,0.63,0.63,0.63,1,0.47,0.63,0.55,0.55,2,0.47,0.8,0.63,0.65,6
MP7 | Armor Core (Factory New),EUR,0.27,2.37,2.37,2.37,2.37,1,0.25,2.37,0.49,0.33,16,0.25,2.52,0.43,0.33,54,0.22,5.1,0.47,0.32,207
StatTrak™ M4A4 | Buzz Kill (Battle-Scarred),EUR,32.03,,,,,0,,,,,0,21.15,21.15,21.15,21.15,1,20.44,28.09,23.22,22.18,4
Sticker | Wicadia (Glitter) | Copenhagen 2024,EUR,0.29,,,,,0,0.13,0.13,0.13,0.13,1,0.08,0.13,0.1,0.09,3,0.08,0.49,0.3,0.29,36
Souvenir Nova | Polar Mesh (Minimal Wear),EUR,1.79,,,,,0,,,,,0,0.44,0.58,0.51,0.51,2,0.44,9.36,2.28,0.69,11
★ Falchion Knife | Damascus Steel (Minimal Wear),EUR,155,155.79,161.77,158.78,158.78,2,155.79,170.6,162.72,161.77,3,139.77,183.42,161.9,160,19,136.24,210,173.9,173.62,48
MAC-10 | Urban DDPAT (Well-Worn),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
StatTrak™ SG 553 | Cyrex (Field-Tested),EUR,10.61,,,,,0,8.88,9.51,9.2,9.2,2,7.82,12,8.81,8.69,13,7.13,21.99,9.22,8.64,36
Sticker | Gen.G (Foil) | 2020 RMR,EUR,0.33,,,,,0,,,,,0,0.14,0.33,0.26,0.32,17,0.14,0.33,0.21,0.16,33
AK-47 | Orbit Mk01 (Minimal Wear),EUR,21.34,21.92,21.92,21.92,21.92,1,18.92,28.07,22.31,21.92,21,17.88,28.07,21.68,21.93,103,16.65,63.93,22.77,22.1,312
